Time,Price,%,SD
06/03 09:26,"1,472.93",-0.26,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5130,5210,1440,600,580,800,944
3821,4460,4340,4350,1450,750,730,890,1153
3100,3650,3480,3490,1460,950,930,1100,1408
2433,2890,2750,2860,1470,1210,1180,1410,1733
1837,2220,2100,2180,1480,1520,1480,1800,2116
1320,1670,1510,1580,1490,1930,1880,2140,2589
910,1150,1030,1080,1500,2430,2390,2670,3179
579,780,670,710,1510,3050,3000,3300,3843
350,500,410,430,1520,3770,3730,4040,4661
203,270,240,250,1530,4590,4550,4770,5510
Time,Price,%,SD
06/03 11:21,"1,485.41",0.58,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5130,5240,1440,610,580,800,944
3821,4460,4340,4390,1450,770,730,890,1153
3100,3650,3480,3590,1460,970,930,1100,1408
2433,2890,2750,2840,1470,1230,1180,1410,1733
1837,2220,2100,2150,1480,1560,1480,1800,2116
1320,1670,1510,1550,1490,1960,1880,2140,2589
910,1150,1030,1080,1500,2470,2390,2670,3179
579,780,670,690,1510,3070,3000,3300,3843
350,500,410,410,1520,3790,3730,4040,4661
203,270,240,250,1530,4650,4550,4770,5510
Time,Price,%,SD
06/03 11:23,"1,485.41",0.58,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5130,5240,1440,620,580,800,944
3821,4460,4340,4390,1450,760,730,890,1153
3100,3650,3480,3550,1460,960,930,1100,1408
2433,2890,2750,2840,1470,1200,1180,1410,1733
1837,2220,2100,2160,1480,1530,1480,1800,2116
1320,1670,1510,1570,1490,1930,1880,2140,2589
910,1150,1030,1070,1500,2440,2390,2670,3179
579,780,670,700,1510,3070,3000,3300,3843
350,500,410,430,1520,3790,3730,4040,4661
203,270,240,250,1530,4610,4550,4770,5510
Time,Price,%,SD
06/03 11:25,"1,486.46",0.66,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5130,5240,1440,620,580,800,944
3821,4460,4340,4390,1450,760,730,890,1153
3100,3650,3480,3550,1460,960,930,1100,1408
2433,2890,2750,2840,1470,1200,1180,1410,1733
1837,2220,2100,2160,1480,1530,1480,1800,2116
1320,1670,1510,1570,1490,1930,1880,2140,2589
910,1150,1030,1070,1500,2440,2390,2670,3179
579,780,670,700,1510,3070,3000,3300,3843
350,500,410,430,1520,3790,3730,4040,4661
203,270,240,250,1530,4610,4550,4770,5510
Time,Price,%,SD
06/03 11:29,"1,486.46",0.66,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5130,5240,1440,610,580,800,944
3821,4460,4340,4390,1450,760,730,890,1153
3100,3650,3480,3550,1460,960,930,1100,1408
2433,2890,2750,2850,1470,1210,1180,1410,1733
1837,2220,2100,2160,1480,1530,1480,1800,2116
1320,1670,1510,1570,1490,1930,1880,2140,2589
910,1150,1030,1080,1500,2440,2390,2670,3179
579,780,670,700,1510,3050,3000,3300,3843
350,500,410,420,1520,3790,3730,4040,4661
